rating,date,user,review
6,"Dec  8, 2007",TommyH.,0
1,"Apr 28, 2008",BubbaS.,1
4,"Jun  8, 2012",Zilcell,2
8,"Nov  4, 2012",LaytonLink1,3
7,"Nov  7, 2013",mewkid1234,4
7,"Apr  3, 2015",sdc,5
4,"May 14, 2016",Shadow1,6
8,"Aug 29, 2010",Sonicphoto,7
4,"Jan 26, 2012",Nero97,8
0,"Mar 13, 2012",Theguyoffire,9
5,"Feb 19, 2014",PolisKanin,10
2,"Aug 22, 2014",sonicheroes123,11
5,"Jun 13, 2011",TheQuietGamer,12
10,"Mar 15, 2007",Ettörillö,13
8,"Nov 14, 2010",JRcade,14
5,"Mar 26, 2013",SonicKlonoa216,15
4,"Jun  7, 2011",RetroBlake,16
5,"Oct  6, 2013",SuperKurzacz,17
1,"Apr  9, 2013",leeemmott,18
1,"May  6, 2014",ReshiramReviews,19
10,"Nov  6, 2013",Redfireball,20
5,"Feb 19, 2014",SonicAndMegaMan,21
3,"Apr  8, 2014",JSXero,22
1,"Nov 12, 2014",Sonic45X,23
9,"Mar  8, 2008",CodyS.,24
8,"Mar 10, 2007",AlexG.,25
6,"Mar  5, 2007",JamesH.,26
8,"May  4, 2007",DanC,27
9,"May  9, 2007",CarlosD.,28
9,"Jun 10, 2007",Twili-Knight,29
3,"Aug 30, 2007",SimonG.,30
5,"Nov  5, 2007",SamP.,31
6,"Feb 24, 2007",VinceS.,32
9,"Feb 24, 2007",stephenB,33
5,"Mar 15, 2007",MaxG.,34
7,"Apr  6, 2007",DustinB.,35
1,"Jul  2, 2007",CraigM.,36
10,"Feb 21, 2007",MichaelP.,37
5,"Feb 22, 2007",JoelF.,38
10,"Feb 20, 2007",LuisT.,39
2,"Feb 27, 2007",YermakirumY.,40
5,"Mar 10, 2007",RobG.,41
5,"Mar 31, 2007",SteveM.,42
6,"Mar  7, 2007",KevinG.,43
0,"Apr 23, 2007",JonS.,44
3,"May 27, 2007",PhillipV.,45
4,"Aug 27, 2007",JamieC.,46
9,"Feb 29, 2008",CarlosA.,47
7,"Oct  5, 2009",joes,48
9,"Jun 24, 2009",JoeyR,49
5,"Nov 18, 2007",JamesH,50
7,"Feb 26, 2007",ClayA.,51
10,"Feb 26, 2007",LKnight,52
7,"Mar 11, 2007",JustinG.,53
8,"Apr 12, 2007",PeterC.,54
6,"Apr 29, 2007",MaxM.,55
9,"Dec 31, 2009",ChrisC,56
4,"May  4, 2013",DukeJon,57
4,"Feb 21, 2013",bonnin40,58
2,"May 26, 2013",Aquaris475,59
7,"Sep  7, 2013",classicgamer321,60
5,"May  7, 2015",Robinson2511,61
8,"Jul 26, 2014",catman1132000,62
1,"Dec 20, 2014",ShadowUchiha73,63
7,"Mar 10, 2015",freemik27,64
7,"Jul 26, 2016",GamecubeLover,65
6,"Aug  5, 2016",Coreyhardie,66
2,"Nov 23, 2017",MeTheNinja,67
4,"Oct 14, 2016",Sanic8mehfridge,68
8,"Jan  3, 2017",Luigibros,69
7,"Feb 21, 2017",sonicgamer2004,70
6,"Mar 12, 2017",Focaccia,71
1,"Aug 28, 2017",Stewart-A,72
8,"Dec 22, 2017",MetalsReviews,73
2,"Oct 12, 2007",Christa,74
5,"Jun 19, 2018",SonicSpeedo92,75
